,Name,Album,Artist,URL
0,Hello,25,Adele,https://open.spotify.com/track/62PaSfnXSMyLshYJrlTuL3
1,Get You The Moon (feat. Snøw),Get You The Moon (feat. Snøw),Kina,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa
2,RAINDROP,RAINDROP,7KY,https://open.spotify.com/track/6lO5a9gSk9VEzM0lBYaBkM
3,Len Deg Inntil Meg,Len Deg Inntil Meg,Sofie Fjellvang,https://open.spotify.com/track/6Kc80h1RHU2Zcd51lwn3S0
4,Bday Blues,Bday Blues,Erin LeCount,https://open.spotify.com/track/6anHxOVC39WKjT04LD2vZo
5,Good Life,Good Life,Nick Kandler,https://open.spotify.com/track/6HTTgOQME93XDBmG4Wm0sF
6,Downfall,Downfall,Julian June,https://open.spotify.com/track/4TuZCxsibG9jZA79cq6Srq
7,Make It Home,Make It Home,DEZI,https://open.spotify.com/track/7gt4DLzRCkoDG2qSKGxEOe
8,Creep,Creep,ORYL,https://open.spotify.com/track/53rCuDGlZyMfSNEYmUx7gg
9,Six Feet Under,Six Feet Under,Billie Eilish,https://open.spotify.com/track/2VlLbhGLVJgdOW7kKdWWFc
10,L.A.,ARC 003,Verskotzi,https://open.spotify.com/track/6gU1zMfJ3v3LqzOS3i3f71
11,Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
12,Lying in LA,Lying in LA,Britta,https://open.spotify.com/track/17Nv4GnG2JZJJK0aOXbW2w
13,Heather,Kid Krow,Conan Gray,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
14,Circles,Hollywood's Bleeding,Post Malone,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
15,Loosing Interest,Passion & Confusion,Timmies,https://open.spotify.com/track/49gXK8uoqUEHgzzHdkELMh
16,High - Slowed + Reverb,High,ORYL,https://open.spotify.com/track/5xQ3A4AdxChEAVH85Qh3V5
17,It's You,YOU,Ali Gatie,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
18,Where Is My Mind?,Where Is My Mind?,ORYL,https://open.spotify.com/track/0h3S6zaZj4dBWmHjCOY0l6
19,Better Now,Better Now,ORYL,https://open.spotify.com/track/5OV8NQLC9eWzMN3jeKs3MJ
20,Jocelyn Flores,17,XXXTENTACION,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
21,Everybody Dies In Their Nightmares,17,XXXTENTACION,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
22,Keep You Close,Keep You Close,ORYL,https://open.spotify.com/track/03GZtfD15W58mqyIXuZqO1
23,Heartbreak Anniversary,TAKE TIME,Giveon,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
24,idfc,deadroses,blackbear,https://open.spotify.com/track/6y6jbcPG4Yn3Du4moXaenr
25,Till Forever Falls Apart,Till Forever Falls Apart,Ashe,https://open.spotify.com/track/2769RhOZs0ezRncRW1vryp
26,Someone Like You,21,Adele,https://open.spotify.com/track/4kflIGfjdZJW4ot2ioixTB
27,Train Wreck,Back from the Edge,James Arthur,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
28,bad ones,TOO YOUNG TO BE SAD,Tate McRae,https://open.spotify.com/track/6CYT0souHUHKTO4EMzTUFg
29,Arcade,Small Town Boy (Track By Track),Duncan Laurence,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
30,Tell Me Goodbye,Tell Me Goodbye,ORYL,https://open.spotify.com/track/0tTI8VvJHgi8giZlVK6U1S
31,r u ok,TOO YOUNG TO BE SAD,Tate McRae,https://open.spotify.com/track/2ng0NW0HhJK0KTNZzZajRv
32,Happier,÷ (Deluxe),Ed Sheeran,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
33,7 Years,Lukas Graham,Lukas Graham,https://open.spotify.com/track/5kqIPrATaCc2LqxVWzQGbk
34,slower,slower,Tate McRae,https://open.spotify.com/track/1bd4heB3yXc5iFTPoOMPuo
35,drivers license,drivers license,Olivia Rodrigo,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
36,Lonely (with benny blanco),Lonely (with benny blanco),Justin Bieber,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
37,Half A Man,A Place We Knew,Dean Lewis,https://open.spotify.com/track/6WU74yOM3Evu2hoyy2g5g5
38,1-800-273-8255,Everybody,Logic,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
39,Let It Go,Chaos And The Calm,James Bay,https://open.spotify.com/track/13HVjjWUZFaWilh2QUJKsP
40,Spinning,Spinning,Trinity Sander,https://open.spotify.com/track/4wJIMc9Jo59MBxaZSnFD2J
41,lovely (with Khalid),lovely (with Khalid),Billie Eilish,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
42,changes,?,XXXTENTACION,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
43,"i hate u, i love u (feat. olivia o'brien)",us,gnash,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe
44,Bruises,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
45,Kiss You,Kiss You,Steph Devine,https://open.spotify.com/track/7gb6qsstXTMH3LjZrzdS8o
46,when the party's over,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
47,Dancing With A Stranger (With Normani) - Acoustic,Dancing With A Stranger (With Normani) [Acoustic],Sam Smith,https://open.spotify.com/track/29f11nLUcMYQ2Ndbnb7N0o
48,You Belong To Somebody Else,You Belong To Somebody Else,PJ Harding,https://open.spotify.com/track/20R40KmQrdwKES14PmDwaf
49,High,High,ORYL,https://open.spotify.com/track/4Z3ilapn8B684SSYiA1Y2M
50,Be Alright,A Place We Knew,Dean Lewis,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
51,Can We Kiss Forever?,Can We Kiss Forever?,Kina,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne
52,If The World Was Ending,If The World Was Ending,JP Saxe,https://open.spotify.com/track/6dTBKBqIN4324sThIkZpMj
53,my future,my future,Billie Eilish,https://open.spotify.com/track/2ygvZOXrIeVL4xZmAWJT2C
54,Nude,In Rainbows,Radiohead,https://open.spotify.com/track/5k7VKj1Xwy5DjO4B0PdAOb
55,At My Worst,The Prelude,Pink Sweat$,https://open.spotify.com/track/0ri0Han4IRJhzvERHOZTMr
56,Fix You,X&Y,Coldplay,https://open.spotify.com/track/7LVHVU3tWfcxj5aiPFEW4Q
