,Name,Album,Artist,URL
0,Players - DJ Smallz 732 - Jersey Club Remix,Players,Coi Leray,https://open.spotify.com/track/731vxZpBMap84vDSqyJjf0
1,Until I Found You,Easy On My Eyes,Stephen Sanchez,https://open.spotify.com/track/6VhuP99TE6gYNQRJIlAWFD
2,I'm Good (Blue),I'm Good (Blue),David Guetta,https://open.spotify.com/track/4uUG5RXrOk84mYEfFvj3cK
3,Body Language,Body Language,Bre Redbone Soul,https://open.spotify.com/track/3tOq0c7RlGTjv6yTZkZT3z
4,golden hour,golden hour,JVKE,https://open.spotify.com/track/6GD1eomgaGT1Epto6Q5eAo
5,I Ain't Worried,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",OneRepublic,https://open.spotify.com/track/4h9wh7iOZ0GGn8QVp4RAOB
6,Chant down Babylon again,Chant down Babylon again,Firetime,https://open.spotify.com/track/3iuA9MoxyeCY4xjSHQQdAV
7,Made You Look,Takin' It Back,Meghan Trainor,https://open.spotify.com/track/0QHEIqNKsMoOY5urbzN48u
8,DON'T YOU WORRY,DON'T YOU WORRY,Black Eyed Peas,https://open.spotify.com/track/0gYXw7aPoybWFfB7btQ0eM
9,I Like You (A Happier Song) (with Doja Cat),Twelve Carat Toothache,Post Malone,https://open.spotify.com/track/0O6u0VJ46W86TxN9wgyqDj
10,For My Hand (feat. Ed Sheeran),"Love, Damini",Burna Boy,https://open.spotify.com/track/0HaRLPnr887lcQM2YQzkff
11,Lavender Haze,Midnights,Taylor Swift,https://open.spotify.com/track/5jQI2r1RdgtuT8S3iG8zFC
12,LIGHT SMOKE,LIGHT SMOKE,Mike the True,https://open.spotify.com/track/3Wh41RxKEO1hHGdxwBvETS
13,10:35,10:35,Tiësto,https://open.spotify.com/track/6BePGk3eCan4FqaW2X8Qy3
14,Solo,Solo,BLANKA,https://open.spotify.com/track/3xxjYOFR1y7By2wNDS51XV
15,The Drum,The Drum,Alan Walker,https://open.spotify.com/track/1zOOl8f7qkjj0AmvlCfLyQ
16,About Damn Time,Special,Lizzo,https://open.spotify.com/track/6HMtHNpW6YPi1hrw9tgF8P
17,Nonsense,emails i can't send,Sabrina Carpenter,https://open.spotify.com/track/6dgUya35uo964z7GZXM07g
18,Summer Nights,Past Lives,Lee Isaacs,https://open.spotify.com/track/555Uug9sqAsB1Lc1aLu32r
19,Super Freaky Girl,Super Freaky Girl,Nicki Minaj,https://open.spotify.com/track/4C6Uex2ILwJi9sZXRdmqXp
20,First Class,First Class,Jack Harlow,https://open.spotify.com/track/1rDQ4oMwGJI7B4tovsBOxc
