,Name,Album,Artist,URL
0,Flowers,Endless Summer Vacation,Miley Cyrus,https://open.spotify.com/track/4DHcnVTT87F0zZhRPYmZ3B
1,Like Crazy (English Version),FACE,Jimin,https://open.spotify.com/track/0u8rZGtXJrLtiSe34FPjGG
2,TQG,MAÑANA SERÁ BONITO,KAROL G,https://open.spotify.com/track/0DWdj2oZMBFSzRsi2Cvfzf
3,Kill Bill,SOS,SZA,https://open.spotify.com/track/1Qrg8KqiBpW07V7PNxwwwL
4,BESO,RR,ROSALÍA,https://open.spotify.com/track/609E1JCInJncactoMmkDon
5,Boy's a liar Pt. 2,Boy's a liar Pt. 2,PinkPantheress,https://open.spotify.com/track/6AQbmUe0Qwf5PZnt4HmTXv
6,Die For You (with Ariana Grande) - Remix,Starboy (Deluxe),The Weeknd,https://open.spotify.com/track/4W4fNrZYkobj539TOWsLO2
7,Set Me Free Pt.2,Set Me Free Pt.2,Jimin,https://open.spotify.com/track/59hBR0BCtJsfIbV9VzCVAp
8,As It Was,Harry's House,Harry Styles,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
9,"Shakira: Bzrp Music Sessions, Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,https://open.spotify.com/track/4nrPB8O7Y7wsOCJdgXkthe
10,Yandel 150,Resistencia,Yandel,https://open.spotify.com/track/4FAKtPVycI4DxoOHC01YqD
11,Creepin' (with The Weeknd & 21 Savage),HEROES & VILLAINS,Metro Boomin,https://open.spotify.com/track/2dHHgzDwk4BJdRwy9uXhTO
12,Ella Baila Sola,Ella Baila Sola,Eslabon Armado,https://open.spotify.com/track/3dnP0JxCgygwQH9Gm7q7nb
13,Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),Rema,https://open.spotify.com/track/0WtM2NBVQNNJLh6scP13H8
14,Coco Chanel,3MEN2 KBRN,Eladio Carrion,https://open.spotify.com/track/0PB0O24JqAuNdOAFVJljMS
15,"Arcángel: Bzrp Music Sessions, Vol. 54","Arcángel: Bzrp Music Sessions, Vol. 54",Bizarrap,https://open.spotify.com/track/7cQ0LAxT5HHCLGbxcjaxac
16,All Of The Girls You Loved Before,All Of The Girls You Loved Before,Taylor Swift,https://open.spotify.com/track/4P9Q0GojKVXpRTJCaL3kyy
17,La Bebe - Remix,La Bebe (Remix),Yng Lvcas,https://open.spotify.com/track/2UW7JaomAMuX9pZrjVpHAU
18,Anti-Hero,Midnights,Taylor Swift,https://open.spotify.com/track/0V3wPSX9ygBnCm8psDIegu
19,Unholy (feat. Kim Petras),Gloria,Sam Smith,https://open.spotify.com/track/0NZPBYD5qbEWRs3PrGiRkT
20,La Bachata,2000,Manuel Turizo,https://open.spotify.com/track/3tt9i3Hhzq84dPS8H7iSiJ
21,I'm Good (Blue),I'm Good (Blue),David Guetta,https://open.spotify.com/track/4uUG5RXrOk84mYEfFvj3cK
22,Eyes Closed,Eyes Closed,Ed Sheeran,https://open.spotify.com/track/07bsRv0pcpbG4zJeLsUs1p
23,Die For You,Starboy,The Weeknd,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3
24,Hey Mor,OzuTochi,Ozuna,https://open.spotify.com/track/1zsPaEkglFvxjAhrM8yhpr
25,Last Night,One Thing At A Time,Morgan Wallen,https://open.spotify.com/track/7K3BhSpAxZBznislvUMVtn
26,PRC,PRC,Peso Pluma,https://open.spotify.com/track/2mpoNBkngUEwnaKoBhZ0vl
27,AMG,AMG,Natanael Cano,https://open.spotify.com/track/1lRtH4FszTrwwlK5gTSbXO
